quiz_id	num_items	num_students	num_skills	frac_nans	SPARFA_train_acc_mean	SPARFA_train_acc_std	VIBO_train_acc_mean	VIBO_train_acc_std	QFactor_train_acc_mean	QFactor_train_acc_std	Q2Factor_train_acc_mean	Q2Factor_train_acc_std	SPARFA_train_auc_mean	SPARFA_train_auc_std	VIBO_train_auc_mean	VIBO_train_auc_std	QFactor_train_auc_mean	QFactor_train_auc_std	Q2Factor_train_auc_mean	Q2Factor_train_auc_std	SPARFA_test_acc_mean	SPARFA_test_acc_std	VIBO_test_acc_mean	VIBO_test_acc_std	QFactor_test_acc_mean	QFactor_test_acc_std	Q2Factor_test_acc_mean	Q2Factor_test_acc_std	SPARFA_test_auc_mean	SPARFA_test_auc_std	VIBO_test_auc_mean	VIBO_test_auc_std	QFactor_test_auc_mean	QFactor_test_auc_std	Q2Factor_test_auc_mean	Q2Factor_test_auc_std	SPARFA_sparsity_mean	SPARFA_sparsity_std	VIBO_sparsity_mean	VIBO_sparsity_std	QFactor_sparsity_mean	QFactor_sparsity_std	Q2Factor_sparsity_mean	Q2Factor_sparsity_std	SPARFA_train_time_mean	SPARFA_train_time_std	VIBO_train_time_mean	VIBO_train_time_std	QFactor_train_time_mean	QFactor_train_time_std	Q2Factor_train_time_mean	Q2Factor_train_time_std	SPARFA_pred_time_mean	SPARFA_pred_time_std	VIBO_pred_time_mean	VIBO_pred_time_std	QFactor_pred_time_mean	QFactor_pred_time_std	Q2Factor_pred_time_mean	Q2Factor_pred_time_std
49	13	2454	4	0.145477	0.879044	0.0051215	0.836894	0.0046671	0.81356	0.00798607	0.833418	0.00942772	0.964868	0.00136525	0.927308	0.00338708	0.911464	0.00523473	0.929899	0.00421484	0.87516	0.00613577	0.832573	0.0076723	0.810299	0.0139101	0.829363	0.00839441	0.962317	0.0036702	0.923768	0.00704136	0.909369	0.0098356	0.927101	0.00453892	0.213462	0.021842	0	0	0.526923	0.0488022	0.359615	0.0577244	56.6394	3.70653	10.4596	0.376861	2.90293	0.71734	20.8429	9.47657	1.1611	0.131235	0.000260305	5.73772e-06	0.00042181	0.000797349	0.000170135	2.79103e-06
50	11	1625	2	0.109818	0.828815	0.00212939	0.809867	0.00301582	0.798776	0.00228348	0.81328	0.00195458	0.917796	0.00188724	0.8912	0.00171382	0.884801	0.00201597	0.893329	0.00177917	0.826422	0.0169877	0.806812	0.0129807	0.798344	0.0136043	0.81275	0.012166	0.913666	0.0153122	0.887878	0.0163191	0.882768	0.0175776	0.891583	0.015836	0.0863636	0.024478	0.00454545	0.0136364	0.290909	0.0301511	0.168182	0.0291051	17.1817	1.12748	7.04382	0.631469	0.663165	0.0651779	4.99646	1.4186	0.35854	0.0534314	0.000203133	1.36928e-05	0.000126433	6.00327e-06	0.000129652	3.24775e-06
53	14	3106	3	0.129059	0.860306	0.00567692	0.847171	0.00428789	0.83728	0.00477814	0.846182	0.00695175	0.951021	0.00268901	0.927194	0.00301463	0.917778	0.00130891	0.929271	0.00216826	0.860065	0.0149012	0.845729	0.00858849	0.833682	0.010876	0.844387	0.0106862	0.951262	0.00688667	0.925225	0.00454263	0.915908	0.00793493	0.927616	0.00619752	0.138095	0.0315869	0	0	0.454762	0.034421	0.32381	0.0371917	51.6946	2.85047	14.211	1.33544	5.65058	1.61999	50.22	19.3945	1.11004	0.120442	0.000295258	3.25448e-05	0.000171041	4.71828e-06	0.000192761	2.0451e-05
57	13	2870	4	0.190056	0.916135	0.0053393	0.893711	0.0033131	0.873969	0.00644465	0.893075	0.00354205	0.979739	0.00168077	0.957016	0.00281662	0.94303	0.00236015	0.955651	0.00254074	0.911493	0.00697549	0.891573	0.00904626	0.872201	0.0106289	0.890778	0.00495309	0.977323	0.00276358	0.955447	0.00441604	0.940876	0.00581439	0.954291	0.00417985	0.215385	0.0295429	0	0	0.580769	0.0562644	0.409615	0.0976991	67.928	4.20448	12.3179	0.880276	4.27111	1.75054	46.79	17.8333	1.31597	0.158668	0.00028038	2.20271e-05	0.000160599	3.47503e-06	0.000177908	8.74434e-06
60	11	1382	3	0.100645	0.870303	0.00418503	0.837073	0.00363025	0.819887	0.00584451	0.840177	0.00452527	0.960178	0.00113959	0.92456	0.00171002	0.912216	0.00174778	0.9312	0.00189042	0.861262	0.0146257	0.832826	0.0155966	0.821465	0.00996413	0.838234	0.0108631	0.955024	0.00895093	0.918667	0.0115785	0.911456	0.00958878	0.928324	0.00919135	0.172727	0.0272727	0	0	0.481818	0.0285878	0.375758	0.0363636	36.7299	4.27793	9.31697	0.498378	1.12922	0.29449	10.4108	3.42592	0.751311	0.0748885	0.000721931	0.00148418	0.000383759	0.000765598	0.00073278	0.00119482
62	17	3024	3	0.171608	0.812463	0.00400842	0.798416	0.00230322	0.78336	0.00495737	0.794345	0.00290505	0.915562	0.00338555	0.882835	0.00266959	0.870593	0.00216265	0.884472	0.00195544	0.809301	0.0102265	0.797054	0.00500521	0.780986	0.00785114	0.791644	0.00512907	0.912495	0.00674611	0.880179	0.00738556	0.868741	0.00558356	0.88202	0.00426029	0.152941	0.0337346	0.00196078	0.00588235	0.456863	0.0533751	0.3	0.0248796	56.0629	14.0068	16.2054	3.3933	3.8548	1.77466	42.6076	19.3356	1.2053	0.331367	0.000355959	6.39709e-05	0.000710464	0.00148517	0.000220823	9.71555e-06
63	12	2934	3	0.135452	0.845558	0.00518611	0.825603	0.00344535	0.803944	0.00411344	0.814223	0.00955235	0.947459	0.00145767	0.91535	0.00216736	0.896497	0.00137348	0.907849	0.00423354	0.841817	0.00572786	0.823264	0.00527067	0.802209	0.00612192	0.814426	0.0112818	0.945008	0.00316751	0.913649	0.00451834	0.894719	0.00525454	0.907581	0.0054196	0.166667	0.0372678	0	0	0.486111	0.0186339	0.333333	0.0464811	49.6839	3.8496	13.1757	1.21971	2.69295	0.557849	20.6617	3.8044	1.0807	0.162542	0.000276232	1.3159e-05	0.000166059	2.03289e-05	0.000170541	4.97724e-06
64	18	3354	3	0.155668	0.834934	0.00399778	0.824375	0.00338187	0.814051	0.00225393	0.822099	0.00539069	0.926683	0.00285785	0.901299	0.00248326	0.890305	0.0013218	0.902494	0.00203785	0.832371	0.0107299	0.822703	0.0080393	0.813474	0.00469805	0.821032	0.0082955	0.924164	0.00630994	0.899219	0.00601245	0.889316	0.00529749	0.901735	0.00640659	0.161111	0.0438619	0.00185185	0.00555556	0.551852	0.033945	0.403704	0.0386678	54.1866	2.77587	14.696	0.813292	7.95838	1.9861	46.4445	14.1128	1.03652	0.0997424	0.000321102	1.20964e-05	0.00021801	3.76701e-06	0.000236082	1.20343e-05
65	17	2950	3	0.150907	0.807595	0.00333392	0.799335	0.00412487	0.784939	0.00262048	0.793823	0.00380647	0.915583	0.000859993	0.886173	0.00189122	0.875349	0.00186115	0.887114	0.00254545	0.805506	0.00844336	0.79522	0.00869404	0.783831	0.00641929	0.792759	0.010074	0.913218	0.0053771	0.88253	0.00748594	0.874133	0.00485478	0.885705	0.00585466	0.1	0.0105591	0.00392157	0.0117647	0.470588	0.0382227	0.32549	0.0306284	44.1005	1.23249	13.1094	0.614693	4.10878	0.692259	31.8462	6.88506	0.91602	0.0563504	0.000302672	2.68098e-05	0.000203276	6.15397e-06	0.000209308	4.78675e-06
66	20	2029	4	0.16831	0.845512	0.00441015	0.829725	0.0024705	0.810028	0.0045421	0.823504	0.00429646	0.943273	0.00163634	0.914823	0.00107995	0.900922	0.00251873	0.914477	0.00142981	0.837998	0.0072283	0.82268	0.00513266	0.806705	0.00702104	0.821801	0.00856581	0.938565	0.00404408	0.908733	0.00403724	0.896903	0.00598049	0.912091	0.00382046	0.1775	0.043946	0	0	0.575	0.0262202	0.39125	0.02625	41.2471	2.83063	9.00836	0.645256	4.00266	1.26094	50.1586	17.6398	0.863174	0.133501	0.000284004	1.17919e-05	0.00020113	3.77003e-06	0.000212121	4.57745e-06
72	9	721	5	0.103406	0.955436	0.00455644	0.902676	0.00644738	0.87716	0.0114569	0.905817	0.0083825	0.992433	0.00144245	0.96372	0.00170671	0.95255	0.0036152	0.973138	0.00355005	0.944084	0.0108972	0.89045	0.0133392	0.87035	0.0207275	0.896382	0.00723412	0.989435	0.00305888	0.953374	0.00743183	0.948455	0.00931483	0.970428	0.00610741	0.238889	0.0376796	0.00555556	0.0111111	0.563889	0.0305556	0.483333	0.0254588	15.9836	0.960934	3.06168	0.162127	0.3096	0.0831546	2.08608	0.292227	0.309567	0.0121382	0.000198245	4.26971e-05	9.95398e-05	2.86747e-06	0.000107598	1.93119e-06
73	12	2849	3	0.134989	0.846828	0.00212407	0.817481	0.00747855	0.809969	0.0082832	0.820395	0.00757005	0.945834	0.000870594	0.912193	0.00449483	0.898182	0.00353899	0.915249	0.00421589	0.842877	0.00693283	0.818027	0.0115484	0.807125	0.0138882	0.821057	0.00947365	0.942439	0.00493657	0.911375	0.00677515	0.895912	0.00852975	0.914661	0.0065183	0.1	0.0283279	0	0	0.466667	0.061864	0.372222	0.0704921	50.4624	3.89681	12.6768	0.859794	2.71636	0.870583	26.8409	22.9448	1.06607	0.126745	0.000297332	4.44664e-05	0.000166273	1.1647e-05	0.000168252	4.22351e-06
75	14	2516	3	0.18141	0.847417	0.00297413	0.835937	0.00264429	0.824002	0.00645466	0.837402	0.00457648	0.944276	0.00180582	0.919821	0.00195241	0.91142	0.00212404	0.919796	0.00243748	0.843995	0.00734966	0.833193	0.00833469	0.823355	0.0119281	0.836396	0.00843419	0.94228	0.00690679	0.917756	0.00565448	0.909538	0.00735259	0.918592	0.00490604	0.154762	0.0286705	0	0	0.433333	0.0349927	0.380952	0.026082	43.9739	2.46649	11.0174	0.507278	2.84383	0.299505	25.5858	8.80492	0.844784	0.0492511	0.000294304	4.24196e-05	0.000170827	3.16882e-06	0.000181031	2.88092e-06
76	14	202	3	0.0689533	0.848283	0.00939539	0.821655	0.00496558	0.812844	0.0109618	0.821829	0.00908416	0.940301	0.00648076	0.897922	0.00322961	0.893867	0.00288215	0.904357	0.00356441	0.82497	0.0266553	0.815214	0.0193182	0.797513	0.0259874	0.803722	0.0248585	0.916274	0.0186063	0.883019	0.0201591	0.873567	0.0188294	0.884291	0.0188308	0.157143	0.024281	0	0	0.497619	0.0224619	0.352381	0.0233285	3.0825	0.350967	0.888523	0.012032	0.149384	0.0346384	1.05249	0.311598	0.0542624	0.00831886	0.000362206	0.000533746	0.000104833	1.95498e-05	0.000107813	1.88739e-05
