SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.84679	0.834282	0.813501	0.828789	0.945305	0.915431	0.904241	0.916349	0.830878	0.823513	0.804533	0.822946	0.933518	0.905965	0.890174	0.907527	0.2	0	0.55	0.3625	38.5478	9.72278	4.32697	42.7169	0.878593	0.000281572	0.000202894	0.000216961
0.844205	0.832905	0.813105	0.824076	0.942742	0.916561	0.898651	0.914945	0.830683	0.822144	0.797998	0.82391	0.935645	0.906616	0.889172	0.913242	0.15	0	0.5875	0.4	43.4756	9.18133	4.41787	71.7678	0.948919	0.000281096	0.000203133	0.000217915
0.844874	0.825726	0.814916	0.820585	0.943805	0.912632	0.903241	0.91222	0.839155	0.811564	0.811564	0.81538	0.939101	0.9036	0.902166	0.909644	0.175	0	0.525	0.4125	43.1901	8.7308	4.93725	27.3104	1.15191	0.000313044	0.000204086	0.000213146
0.8426	0.83034	0.813136	0.83034	0.942647	0.915008	0.902467	0.916517	0.84297	0.828588	0.823011	0.836807	0.942139	0.914679	0.906866	0.918911	0.1625	0	0.5625	0.375	39.8515	8.40709	3.42562	30.2275	0.780901	0.00027585	0.000197172	0.000214577
0.852329	0.828167	0.811565	0.819389	0.942326	0.915626	0.903996	0.91569	0.837887	0.819874	0.801861	0.804863	0.932986	0.906221	0.895513	0.909519	0.2625	0	0.575	0.3625	37.173	8.32833	3.95469	62.6926	0.759275	0.000278711	0.00020051	0.000218868
0.844305	0.830429	0.814613	0.815435	0.944163	0.915009	0.902155	0.914056	0.847214	0.828041	0.810066	0.819652	0.945328	0.915452	0.901247	0.91611	0.175	0	0.6	0.4	40.7438	8.32699	4.00628	78.4878	0.780555	0.000292063	0.000201464	0.000208139
0.842525	0.828105	0.804323	0.82101	0.943444	0.913258	0.898365	0.914154	0.834896	0.819474	0.803145	0.814333	0.93722	0.905205	0.894054	0.908198	0.1125	0	0.575	0.35	41.0701	8.87982	4.73506	51.6212	0.71665	0.000285625	0.00019908	0.000211
0.850305	0.831089	0.801491	0.824223	0.94555	0.915319	0.897615	0.912457	0.850665	0.830109	0.807739	0.8289	0.944541	0.913563	0.902202	0.916246	0.175	0	0.625	0.4125	45.6957	8.80291	0.586654	45.8513	0.766112	0.000272036	0.000200748	0.000206709
0.850489	0.828852	0.807743	0.82426	0.943318	0.914567	0.900895	0.915048	0.839275	0.821449	0.808798	0.829787	0.937898	0.907352	0.898796	0.913265	0.2375	0	0.5625	0.4	44.9287	9.22868	4.15553	27.4909	1.03506	0.000270128	0.000193834	0.000206947
0.836699	0.827356	0.805882	0.826929	0.939428	0.914818	0.897597	0.913336	0.826355	0.822044	0.798337	0.821429	0.937275	0.908681	0.888837	0.908253	0.125	0	0.5875	0.4375	37.7943	10.4749	5.48067	63.4193	0.813767	0.000289917	0.000208378	0.000206947
